MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1,Importe_cierre,Importe_operativo
b'2024-07',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,28336140.0,0.0,28336140.0
b'2024-04',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,30519715.0,0.0,30519715.0
b'2024-08',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,29081562.0,0.0,29081562.0
b'2024-06',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,37782002.0,0.0,37782002.0
b'2024-09',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,31171795.68,0.0,31171795.68
b'2024-05',b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,26758790.0,0.0,26758790.0
b'2024-11',b'2024-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,33568370.0,0.0,33568370.0
b'2024-09',b'2024-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,1,3225000.0,0.0,3225000.0
b'2024-10',b'2024-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,1,9870.0,0.0,9870.0
b'2024-12',b'2024-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,46825075.0,0.0,46825075.0
b'2025-01',b'2025-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,11,40494758.0,0.0,40494758.0
b'2025-02',b'2025-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,7,57057887.0,0.0,57057887.0
b'2025-02',b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,4,750000.0,0.0,750000.0
b'2025-03',b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,12,45840498.0,0.0,45840498.0
b'2024-10',b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,33934370.0,33934370.0,0.0
b'2024-11',b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,34406446.0,34406446.0,0.0
b'2024-12',b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,2,56151196.12,3838357.12,52312839.0
b'2025-04',b'2025-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,8,44808404.0,0.0,44808404.0
b'2025-05',b'2025-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,51516065.0,0.0,51516065.0
b'2024-12',b'2025-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,1,39302758.0,39302758.0,0.0
b'2025-01',b'2025-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,39302758.0,39302758.0,0.0
b'2025-06',b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,57481996.0,0.0,57481996.0
